,Season,Team,HomePoints,HF,HS,HY,HR,HST,HC,FTHG,HomeConceded,AwayPoints,AF,AS,AY,AR,AST,AC,FTAG,AwayConceded,TotalPoints,TotalFouls,TotalYellowCards,TotalRedCards,TotalBookings,TotalShots,TotalShotsOnTarget,GoalsFor,GoalsAllowed,GoalDifferential,rank
0,1996-1997,Crystal Palace,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,1995-1996,Crystal Palace,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,1993-1994,Crystal Palace,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
55,1995-1996,Middlesbrough,27,,,,,,,27.0,27.0,16,,,,,,,8.0,23.0,43,,,,,,,35.0,50.0,-15.0,12
75,1996-1997,Middlesbrough,29,,,,,,,34.0,25.0,13,,,,,,,17.0,35.0,42,,,,,,,51.0,60.0,-9.0,14
116,1998-1999,Middlesbrough,30,,,,,,,25.0,18.0,21,,,,,,,23.0,36.0,51,,,,,,,48.0,54.0,-6.0,9
135,1999-2000,Middlesbrough,29,,,,,,,23.0,26.0,23,,,,,,,23.0,26.0,52,,,,,,,46.0,52.0,-6.0,12
158,2000-2001,Middlesbrough,19,215.0,212.0,28.0,4.0,93.0,85.0,18.0,23.0,23,283.0,140.0,44.0,2.0,74.0,61.0,26.0,21.0,42,498.0,72.0,6.0,78.0,352.0,167.0,44.0,44.0,0.0,14
178,2001-2002,Middlesbrough,26,248.0,173.0,21.0,4.0,75.0,101.0,23.0,26.0,19,257.0,139.0,30.0,3.0,55.0,67.0,12.0,21.0,45,505.0,51.0,7.0,58.0,312.0,130.0,35.0,47.0,-12.0,12
197,2002-2003,Middlesbrough,37,241.0,234.0,21.0,1.0,107.0,114.0,36.0,21.0,12,235.0,155.0,29.0,4.0,77.0,97.0,12.0,23.0,49,476.0,50.0,5.0,55.0,389.0,184.0,48.0,44.0,4.0,11
218,2003-2004,Middlesbrough,28,237.0,261.0,27.0,0.0,148.0,106.0,25.0,23.0,20,260.0,200.0,30.0,1.0,106.0,71.0,19.0,29.0,48,497.0,57.0,1.0,58.0,461.0,254.0,44.0,52.0,-8.0,11
237,2004-2005,Middlesbrough,33,240.0,269.0,18.0,1.0,154.0,105.0,29.0,19.0,22,234.0,183.0,35.0,1.0,105.0,89.0,24.0,27.0,55,474.0,53.0,2.0,55.0,452.0,259.0,53.0,46.0,7.0,7
256,2005-2006,Middlesbrough,26,248.0,211.0,29.0,1.0,120.0,105.0,28.0,30.0,19,248.0,185.0,25.0,2.0,99.0,79.0,20.0,28.0,45,496.0,54.0,3.0,57.0,396.0,219.0,48.0,58.0,-10.0,14
275,2006-2007,Middlesbrough,33,224.0,243.0,24.0,0.0,122.0,126.0,31.0,24.0,13,286.0,141.0,41.0,2.0,70.0,62.0,13.0,25.0,46,510.0,65.0,2.0,67.0,384.0,192.0,44.0,49.0,-5.0,12
296,2007-2008,Middlesbrough,26,244.0,204.0,35.0,0.0,112.0,131.0,27.0,23.0,16,279.0,208.0,49.0,2.0,119.0,90.0,16.0,30.0,42,523.0,84.0,2.0,86.0,412.0,231.0,43.0,53.0,-10.0,13
315,2008-2009,Middlesbrough,24,207.0,224.0,31.0,1.0,127.0,105.0,17.0,20.0,8,213.0,202.0,23.0,2.0,92.0,68.0,11.0,37.0,32,420.0,54.0,3.0,57.0,426.0,219.0,28.0,57.0,-29.0,19
0,2014-2015,Middlesbrough,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,2013-2014,Middlesbrough,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,2012-2013,Middlesbrough,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,2011-2012,Middlesbrough,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,2010-2011,Middlesbrough,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,2009-2010,Middlesbrough,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,1997-1998,Middlesbrough,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
0,1994-1995,Middlesbrough,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888
